Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,323.5400085449219,324.8900146484375,322.5299987792969,324.8699951171875,299.4064025878906,59151200
2020-01-03,321.1600036621094,323.6400146484375,321.1000061035156,322.4100036621094,297.1392822265625,77709700
2020-01-06,320.489990234375,323.7300109863281,320.3599853515625,323.6400146484375,298.2728576660156,55653900
2020-01-07,323.0199890136719,323.5400085449219,322.239990234375,322.7300109863281,297.4341735839844,40496400
2020-01-08,322.94000244140625,325.7799987792969,322.6700134277344,324.45001220703125,299.0193786621094,68296000
2020-01-09,326.1600036621094,326.7300109863281,325.5199890136719,326.6499938964844,301.04693603515625,48473300
2020-01-10,327.2900085449219,327.4599914550781,325.20001220703125,325.7099914550781,300.1806335449219,53029300
2020-01-13,326.3900146484375,327.9599914550781,325.9200134277344,327.95001220703125,302.24505615234375,47086800
2020-01-14,327.4700012207031,328.6199951171875,326.8399963378906,327.45001220703125,301.7842102050781,62832800
2020-01-15,327.3500061035156,329.0199890136719,327.260009765625,328.19000244140625,302.4662780761719,72056600
2020-01-16,329.70001220703125,330.9200134277344,329.45001220703125,330.9200134277344,304.9822082519531,54050300
2020-01-17,331.70001220703125,332.17999267578125,330.8500061035156,331.95001220703125,305.9315185546875,95846000
2020-01-21,330.8999938964844,332.17999267578125,330.82000732421875,331.29998779296875,305.33245849609375,77742400
2020-01-22,332.239990234375,332.95001220703125,331.1700134277344,331.3399963378906,305.3693542480469,48914900
2020-01-23,330.6300048828125,332.1700134277344,329.4100036621094,331.7200012207031,305.7195129394531,51963000
2020-01-24,332.44000244140625,332.5299987792969,327.3599853515625,328.7699890136719,303.0007629394531,87578400
2020-01-27,323.0299987792969,325.1199951171875,322.6600036621094,323.5,298.143798828125,84062500
2020-01-28,325.05999755859375,327.8500061035156,323.6000061035156,326.8900146484375,301.26806640625,63834000
2020-01-29,328.3800048828125,328.6300048828125,326.3999938964844,326.6199951171875,301.019287109375,53888900
2020-01-30,324.3599853515625,327.9100036621094,323.5400085449219,327.67999267578125,301.99615478515625,75491800
2020-01-31,327.0,327.1700134277344,320.7300109863281,321.7300109863281,296.5126037597656,113845600
2020-02-03,323.3500061035156,326.1600036621094,323.2200012207031,324.1199951171875,298.7151794433594,69083000
